title,webtoon_hscore,discovery_score,retention_score,expansion_score,shortform_points
나 혼자만 레벨업,96.4,98.0,94.5,96.5,"visual_hook_power: 첫 1.5초에 표정, 액션, 강한 구도의 컷을 배치한다. / narrative_engine: 갈등이 시작되는 순간이나 회차 말미 클리프행어를 중심으로 구성한다. / creator_power: 작가 전작이나 작가 브랜드를 추천 카피에 활용한다."
전지적 독자 시점,95.65,95.5,97.0,94.0,"narrative_engine: 갈등이 시작되는 순간이나 회차 말미 클리프행어를 중심으로 구성한다. / character_attachment: 캐릭터 관계성, 팬덤형 대사, 감정 반응을 전면에 둔다. / platform_serialization_power: 연재 요일, 회차 누적, 정주행 가능성을 CTA로 활용한다."
화산귀환,91.92,92.5,93.0,89.5,"character_attachment: 캐릭터 관계성, 팬덤형 대사, 감정 반응을 전면에 둔다. / platform_serialization_power: 연재 요일, 회차 누적, 정주행 가능성을 CTA로 활용한다. / social_proof_buzz: 댓글 반응, 별점, 독자 반응을 숏폼 카피의 신뢰 근거로 사용한다."
재벌집 막내아들,86.0,87.5,87.5,81.5,"emotion_theme_fit: 공감, 위로, 통쾌함, 긴장감 중 가장 강한 정서를 카피로 만든다. / narrative_engine: 갈등이 시작되는 순간이나 회차 말미 클리프행어를 중심으로 구성한다. / platform_serialization_power: 연재 요일, 회차 누적, 정주행 가능성을 CTA로 활용한다."
유미의 세포들,89.62,86.5,91.5,92.0,"character_attachment: 캐릭터 관계성, 팬덤형 대사, 감정 반응을 전면에 둔다. / emotion_theme_fit: 공감, 위로, 통쾌함, 긴장감 중 가장 강한 정서를 카피로 만든다. / transmedia_shortform_fit: 드라마화, 애니화, 컷츠 전환 가능 장면을 중심으로 홍보한다."
내 남편과 결혼해줘,87.55,90.0,85.5,86.5,"social_proof_buzz: 댓글 반응, 별점, 독자 반응을 숏폼 카피의 신뢰 근거로 사용한다. / visual_hook_power: 첫 1.5초에 표정, 액션, 강한 구도의 컷을 배치한다. / narrative_engine: 갈등이 시작되는 순간이나 회차 말미 클리프행어를 중심으로 구성한다."
신의 탑,88.28,88.0,89.5,87.0,"platform_serialization_power: 연재 요일, 회차 누적, 정주행 가능성을 CTA로 활용한다. / narrative_engine: 갈등이 시작되는 순간이나 회차 말미 클리프행어를 중심으로 구성한다. / character_attachment: 캐릭터 관계성, 팬덤형 대사, 감정 반응을 전면에 둔다."
외모지상주의,91.55,94.0,89.5,90.5,"visual_hook_power: 첫 1.5초에 표정, 액션, 강한 구도의 컷을 배치한다. / creator_power: 작가 전작이나 작가 브랜드를 추천 카피에 활용한다. / platform_serialization_power: 연재 요일, 회차 누적, 정주행 가능성을 CTA로 활용한다."
호랑이형님,89.62,91.0,91.0,85.5,"narrative_engine: 갈등이 시작되는 순간이나 회차 말미 클리프행어를 중심으로 구성한다. / visual_hook_power: 첫 1.5초에 표정, 액션, 강한 구도의 컷을 배치한다. / character_attachment: 캐릭터 관계성, 팬덤형 대사, 감정 반응을 전면에 둔다."
가비지타임,87.38,85.0,90.0,87.5,"character_attachment: 캐릭터 관계성, 팬덤형 대사, 감정 반응을 전면에 둔다. / emotion_theme_fit: 공감, 위로, 통쾌함, 긴장감 중 가장 강한 정서를 카피로 만든다. / narrative_engine: 갈등이 시작되는 순간이나 회차 말미 클리프행어를 중심으로 구성한다."
