webtoon_id,title,author,platform,genre,status,adaptation_history,shortform_exists,visual_hook_power,narrative_engine,character_attachment,emotion_theme_fit,creator_power,platform_serialization_power,social_proof_buzz,transmedia_shortform_fit,success_proxy,discovery_score,retention_score,expansion_score,webtoon_hscore
webtoon_001,나 혼자만 레벨업,추공,카카오페이지,판타지,완결,드라마/애니/게임,Y,10,10,9,8,10,10,10,10,A,98.0,94.5,96.5,96.4
webtoon_002,전지적 독자 시점,싱숑,네이버웹툰,판타지,연재,영화/애니,Y,9,10,10,9,9,10,10,9,A,95.5,97.0,94.0,95.65
webtoon_003,화산귀환,비가,네이버웹툰,무협,연재,오디오드라마,Y,9,9,10,9,8,10,10,8,A,92.5,93.0,89.5,91.92
webtoon_004,재벌집 막내아들,산경,네이버웹툰,드라마,완결,드라마,N,8,9,8,10,8,9,9,7,A,87.5,87.5,81.5,86.0
webtoon_005,유미의 세포들,이동건,네이버웹툰,일상,완결,드라마/애니,Y,8,8,10,10,9,9,9,10,A,86.5,91.5,92.0,89.62
webtoon_006,내 남편과 결혼해줘,성소작,네이버웹툰,로맨스,완결,드라마,N,9,9,8,9,7,9,10,8,A,90.0,85.5,86.5,87.55
webtoon_007,신의 탑,SIU,네이버웹툰,판타지,연재,애니/게임,Y,8,9,9,8,9,10,9,9,A,88.0,89.5,87.0,88.28
webtoon_008,외모지상주의,박태준,네이버웹툰,드라마,연재,애니,Y,10,8,9,8,10,10,10,9,A,94.0,89.5,90.5,91.55
webtoon_009,호랑이형님,이상규,네이버웹툰,판타지,연재,N,N,9,10,9,9,8,9,9,7,B,91.0,91.0,85.5,89.62
webtoon_010,가비지타임,2사장,네이버웹툰,스포츠,완결,N,Y,8,9,10,10,7,8,9,8,B,85.0,90.0,87.5,87.38
